@T,climate ,,,,,
name,wind ,,,,,
desc,wind speed ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,21.11.2001 ,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy ,,,,,
,,,,,,
tres,d ,,,,,
unit,m/s ,,,,,
,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult
ID,-,1,2,3,4,5
elevation,-,1584.435,1584.867,1571,1571,1497
,24.07.2002,-9999,-9999,3.001249074,-9999,2.374178009
,25.07.2002,-9999,-9999,3.577339352,-9999,3.019038542
,26.07.2002,-9999,-9999,2.959551111,-9999,2.347099884
,27.07.2002,-9999,-9999,3.270091204,-9999,2.530629398
,28.07.2002,-9999,-9999,2.855306204,-9999,2.411285069
,29.07.2002,-9999,-9999,2.748866667,-9999,1.980040856
,30.07.2002,-9999,-9999,3.198765741,-9999,2.302972569
,31.07.2002,-9999,-9999,3.076415139,-9999,2.114428588
,01.08.2002,-9999,-9999,4.398679491,-9999,3.651864352
,02.08.2002,-9999,-9999,2.540376852,-9999,2.859578472
,03.08.2002,-9999,-9999,2.901393426,-9999,2.829491667
,04.08.2002,-9999,-9999,3.046787639,-9999,2.870610301
,05.08.2002,-9999,-9999,2.731858287,-9999,2.72218206
,06.08.2002,-9999,-9999,2.816351528,-9999,2.465441319
,07.08.2002,-9999,-9999,3.193279167,-9999,2.82748588
,08.08.2002,-9999,-9999,2.41583162,-9999,2.309992824
,09.08.2002,-9999,-9999,2.971621574,-9999,3.096261343
,10.08.2002,-9999,-9999,2.542022824,-9999,2.27188287
,11.08.2002,-9999,-9999,3.261312685,-9999,2.398247454
,12.08.2002,-9999,-9999,4.026141111,-9999,4.023937847
,13.08.2002,-9999,-9999,2.403761157,-9999,2.094370718
,14.08.2002,-9999,-9999,2.573844954,-9999,2.162567477
,15.08.2002,-9999,-9999,3.48681088,-9999,3.771208681
,16.08.2002,-9999,-9999,3.839597593,-9999,3.023050116
,17.08.2002,-9999,-9999,3.341416667,-9999,2.848546644
,18.08.2002,-9999,-9999,3.203703657,-9999,2.66501713
,19.08.2002,-9999,-9999,3.246498935,-9999,3.153426273
,20.08.2002,-9999,-9999,2.792759259,-9999,2.423319792
,21.08.2002,-9999,-9999,3.011673565,-9999,2.822471412
,22.08.2002,-9999,-9999,3.138962083,-9999,2.686077894
,23.08.2002,-9999,-9999,2.890968935,-9999,2.707138657
,24.08.2002,-9999,-9999,2.91949912,-9999,3.057148495
,25.08.2002,-9999,-9999,2.476732593,-9999,2.283917593
,26.08.2002,-9999,-9999,3.85276537,-9999,3.914622454
,27.08.2002,-9999,-9999,4.445864028,-9999,4.079096991
,28.08.2002,-9999,-9999,3.47199713,-9999,3.475355093
,29.08.2002,-9999,-9999,2.9365075,-9999,3.062162963
,30.08.2002,-9999,-9999,2.538182222,-9999,2.074312847
,31.08.2002,-9999,-9999,2.207341806,-9999,2.048237616
,01.09.2002,-9999,-9999,2.703876759,-9999,2.34308831
,02.09.2002,-9999,-9999,3.87196838,-9999,3.746136343
