@T,A4,,,,
descr,observed soil water content at probe A4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1571,,,
x,,513622,,,
y,,4495211,,,
,21.06.2003,0.342081936,0.247119757,0.119827224,0.117171858
,22.06.2003,0.342191091,0.247557494,0.122416685,0.117571353
,23.06.2003,0.341376791,0.24798896,0.12553603,0.118021495
,24.06.2003,0.338751768,0.247813688,0.129194137,0.11853998
,25.06.2003,0.334408153,0.246068297,0.132788007,0.119009707
,26.06.2003,0.333802476,0.244332617,0.136028657,0.119240611
,27.06.2003,0.335149322,0.243861353,0.139360418,0.119268952
,28.06.2003,0.336958354,0.244342468,0.143010116,0.11933219
,29.06.2003,0.337571078,0.245128809,0.147002264,0.119552589
,30.06.2003,0.337044501,0.245078564,0.151030185,0.119904407
,01.07.2003,0.338822284,0.245507469,0.154857726,0.120261224
,02.07.2003,0.340703425,0.246591785,0.158830127,0.120669166
,03.07.2003,0.342013709,0.24785078,0.162979176,0.121192375
,04.07.2003,0.342919005,0.248951312,0.167127672,0.12184054
,05.07.2003,0.343731339,0.249963256,0.171189308,0.122550558
,06.07.2003,0.343727454,0.250821397,0.175044288,0.123274162
,07.07.2003,0.342782835,0.251076116,0.178561738,0.124009203
,08.07.2003,0.341286548,0.250695839,0.181649739,0.124659526
,09.07.2003,0.342160462,0.250688978,0.184239666,0.125195159
,10.07.2003,0.342315377,0.251062526,0.186895724,0.125660212
,11.07.2003,0.342288816,0.251402413,0.18941055,0.126148815
,12.07.2003,0.342156653,0.251531633,0.191744157,0.126658906
,13.07.2003,0.342103908,0.251725548,0.193970984,0.127161141
,14.07.2003,0.3422473,0.251916146,0.196009211,0.127669116
,15.07.2003,0.34220565,0.252297603,0.197986122,0.128176021
,16.07.2003,0.340642888,0.251974093,0.199808547,0.12870693
,17.07.2003,0.340684352,0.2516507,0.201249527,0.129163679
,18.07.2003,0.341425417,0.251885512,0.202613045,0.129559558
,19.07.2003,0.340887349,0.252079592,0.204066092,0.129999763
,20.07.2003,0.340274226,0.251991058,0.205353494,0.130489166
,21.07.2003,0.337975475,0.251239438,0.206464522,0.130942758
,22.07.2003,0.338140066,0.250563428,0.207134031,0.131297985
,23.07.2003,0.338323515,0.250458229,0.207840111,0.131577507
,24.07.2003,0.338379776,0.25041073,0.208621048,0.131885174
,25.07.2003,0.339080374,0.250580368,0.209400821,0.132230355
,26.07.2003,0.339024353,0.250841748,0.210294498,0.132643428
,27.07.2003,0.339380512,0.251065923,0.211187483,0.133115452
,28.07.2003,0.338896598,0.251188254,0.212058994,0.133623468
,29.07.2003,0.337305641,0.250824847,0.212763042,0.134151325
,30.07.2003,0.335584733,0.249871875,0.213179588,0.134614803
,31.07.2003,0.334716819,0.249073043,0.213313585,0.134947772
,01.08.2003,0.333278332,0.248103785,0.213340391,0.135222498
,02.08.2003,0.333019003,0.247372302,0.213268913,0.13541524
,03.08.2003,0.334043468,0.247294785,0.213313588,0.135570491
,04.08.2003,0.333805712,0.247338571,0.21356685,0.13581301
,05.08.2003,0.334010383,0.247257757,0.213829225,0.136143043
,06.08.2003,0.33473938,0.247503589,0.214199279,0.136511365
,07.08.2003,0.335096312,0.247911397,0.214689307,0.136941814
,08.08.2003,0.333668278,0.247729407,0.215206888,0.137451365
,09.08.2003,0.33352727,0.247368885,0.215482433,0.137962018
,10.08.2003,0.33358319,0.247251028,0.215689248,0.138445216
,11.08.2003,0.333902507,0.2473554,0.215959187,0.138931808
,12.08.2003,0.333690726,0.247436232,0.216289378,0.13946011
,13.08.2003,0.333282233,0.247328477,0.216610845,0.140027981
,14.08.2003,0.332218085,0.24702222,0.216857394,0.14059723
,15.08.2003,0.331484832,0.246484201,0.21695967,0.141131668
,16.08.2003,0.330919138,0.24598381,0.216917553,0.141604536
,17.08.2003,0.330733926,0.245712005,0.21689048,0.142046898
,18.08.2003,0.329530498,0.245246078,0.216917553,0.142494933
,19.08.2003,0.326336397,0.244002046,0.216797252,0.142904939
,20.08.2003,0.326864563,0.242887573,0.216328431,0.143198918
,21.08.2003,0.327885083,0.242900847,0.21600118,0.143395926
,22.08.2003,0.328374375,0.243027448,0.216019188,0.143680786
,23.08.2003,0.328709094,0.243294117,0.216121234,0.144068445
,24.08.2003,0.327756317,0.24324746,0.216295375,0.144547164
,25.08.2003,0.324831362,0.242298641,0.216310394,0.145058665
,26.08.2003,0.324241342,0.241076277,0.215950192,0.145458313
,27.08.2003,0.325472069,0.240979979,0.21559931,0.145716108
,28.08.2003,0.326215508,0.241115934,0.215506395,0.146025843
,29.08.2003,0.325004238,0.241255323,0.21559931,0.146427115
,30.08.2003,0.320149956,0.239844972,0.215518402,0.146875922
,31.08.2003,0.315797372,0.236916948,0.214797056,0.147192023
,01.09.2003,0.316818289,0.234746398,0.213510398,0.14713519
,02.09.2003,0.320846274,0.233992725,0.212382635,0.146873433
,03.09.2003,0.324470209,0.234422975,0.211818587,0.146693307
,04.09.2003,0.325532587,0.234615463,0.211619913,0.146700707
,05.09.2003,0.328210663,0.235092129,0.211456922,0.146846275
,06.09.2003,0.329604671,0.236027575,0.211551752,0.147103082
,07.09.2003,0.328940968,0.236325662,0.211726647,0.147488798
,08.09.2003,0.326545347,0.235549966,0.211717754,0.147887475
,09.09.2003,0.326065023,0.234886437,0.211326595,0.148170151
,10.09.2003,0.325288513,0.234240444,0.21092402,0.148343888
,11.09.2003,0.323080254,0.233299725,0.210421449,0.148450673
,12.09.2003,0.322593355,0.232146798,0.209701374,0.148475515
,13.09.2003,0.322792414,0.23180639,0.209085695,0.148425832
,14.09.2003,0.320833073,0.231036288,0.208626878,0.148396028
,15.09.2003,0.319992855,0.229922408,0.20798381,0.148319059
,16.09.2003,0.321526807,0.229683713,0.207379931,0.148199925
,17.09.2003,0.322336437,0.230122139,0.207166185,0.148165183
,18.09.2003,0.317541817,0.229304375,0.207090102,0.148239633
