@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,01.02.2003,0.120025585,0.208963944,0.151031403,0.180534264
,02.02.2003,0.121716558,0.210837055,0.15159265,0.1806606
,03.02.2003,0.12028232,0.211666015,0.152294698,0.180792148
,04.02.2003,0.117993618,0.210494152,0.152578776,0.180985709
,05.02.2003,0.116663885,0.208686565,0.152258045,0.181200053
,06.02.2003,0.115790782,0.207368617,0.151763938,0.181305983
,07.02.2003,0.114347212,0.2060616,0.15123432,0.181308563
,08.02.2003,0.11303892,0.204519519,0.150619335,0.181251718
,09.02.2003,0.113136167,0.203404953,0.149946807,0.181099315
,10.02.2003,0.112574414,0.202765406,0.149425475,0.180910846
,11.02.2003,0.112506862,0.202058923,0.148939133,0.180678653
,12.02.2003,0.112686453,0.201682168,0.14851687,0.180433744
,13.02.2003,0.113145577,0.20156328,0.148223749,0.180209647
,14.02.2003,0.113988715,0.20175012,0.14805029,0.179944539
,15.02.2003,0.115241593,0.202609238,0.148048036,0.179751648
,16.02.2003,0.115665182,0.203439087,0.148286856,0.179569146
,17.02.2003,0.116246219,0.204165497,0.148598091,0.179427861
,18.02.2003,0.117059904,0.205162199,0.148927814,0.179381637
,19.02.2003,0.117533285,0.205983963,0.1493598,0.17933798
,20.02.2003,0.117004679,0.206368277,0.149724505,0.179371363
,21.02.2003,0.11699679,0.206167415,0.149871886,0.179435569
,22.02.2003,0.117310884,0.206462998,0.149992138,0.179479232
,23.02.2003,0.116720076,0.206560613,0.150130606,0.179512622
,24.02.2003,0.114487206,0.205460053,0.15008975,0.179564005
,25.02.2003,0.112789723,0.203672843,0.149629368,0.179630822
,26.02.2003,0.112422707,0.202251807,0.148977578,0.179579423
