@T,E1,,,,,
descr,observed soil water content at probe E1 depths 30cm 60cm 90cm 120cm 150cm,,,,,
unit,dimensionless,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,14.12.2002,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3],swc[4]
name,,Drake,,,,
ID,,1,,,,
elevation,,1575,,,,
x,,512754,,,,
y,,4495389,,,,
,04.07.2003,0.407395833,0.338275,0.247208333,0.220204167,0.330591667
,05.07.2003,0.4087625,0.340508333,0.2488875,0.221295833,0.331175
,06.07.2003,0.408833333,0.342445833,0.2505875,0.222395833,0.331858333
,07.07.2003,0.407629167,0.343375,0.252016667,0.223495833,0.332625
,08.07.2003,0.406004167,0.34315,0.252925,0.224441667,0.333479167
,09.07.2003,0.407520833,0.343695833,0.2534125,0.225120833,0.334270833
,10.07.2003,0.4080625,0.344995833,0.254233333,0.225716667,0.334895833
,11.07.2003,0.408354167,0.346308333,0.2552125,0.226366667,0.335545833
,12.07.2003,0.408329167,0.347283333,0.256229167,0.227104167,0.336320833
,13.07.2003,0.408304167,0.348229167,0.257154167,0.227791667,0.336929167
,14.07.2003,0.408345833,0.349120833,0.258104167,0.2284875,0.337583333
,15.07.2003,0.408008333,0.3503625,0.259091667,0.2291375,0.338225
,16.07.2003,0.405908333,0.350283333,0.259975,0.229820833,0.338866667
,17.07.2003,0.405808333,0.350358333,0.260470833,0.23035,0.339495833
,18.07.2003,0.40635,0.351245833,0.261058333,0.2308,0.340129167
,19.07.2003,0.405208333,0.3519875,0.2619625,0.231329167,0.340704167
,20.07.2003,0.404120833,0.3521625,0.262695833,0.231854167,0.341229167
,21.07.2003,0.401970833,0.351379167,0.263179167,0.232275,0.341745833
,22.07.2003,0.402958333,0.351191667,0.263283333,0.232570833,0.342258333
,23.07.2003,0.4035125,0.351816667,0.263670833,0.2328125,0.342845833
,24.07.2003,0.404016667,0.352383333,0.264283333,0.233125,0.343233333
,25.07.2003,0.405054167,0.353270833,0.264975,0.233383333,0.3433875
,26.07.2003,0.405179167,0.353991667,0.2658,0.2337125,0.343670833
,27.07.2003,0.405758333,0.354745833,0.266583333,0.2341,0.344066667
,28.07.2003,0.405504167,0.355270833,0.267391667,0.234554167,0.344475
,29.07.2003,0.403858333,0.35505,0.268020833,0.234966667,0.3449125
,30.07.2003,0.402254167,0.353908333,0.268275,0.235275,0.345354167
,31.07.2003,0.401704167,0.353229167,0.268141667,0.235341667,0.345708333
,01.08.2003,0.400091667,0.352158333,0.2680125,0.235316667,0.346079167
,02.08.2003,0.400208333,0.351404167,0.267729167,0.235270833,0.346408333
,03.08.2003,0.4019,0.351829167,0.2676625,0.235116667,0.346608333
,04.08.2003,0.4016625,0.3522875,0.268033333,0.235066667,0.3467125
,05.08.2003,0.4024125,0.352554167,0.268458333,0.235145833,0.346825
,06.08.2003,0.403704167,0.3535125,0.268995833,0.235295833,0.3469625
,07.08.2003,0.404295833,0.354575,0.2698125,0.235508333,0.347045833
,08.08.2003,0.4026375,0.354508333,0.270629167,0.235883333,0.347341667
,09.08.2003,0.4028,0.354279167,0.270983333,0.236183333,0.3476
,10.08.2003,0.403283333,0.354504167,0.2713875,0.2363875,0.347945833
,11.08.2003,0.404083333,0.355025,0.271904167,0.236595833,0.348183333
,12.08.2003,0.404004167,0.3555125,0.2725625,0.236845833,0.348441667
,13.08.2003,0.403808333,0.355708333,0.2731875,0.237175,0.348745833
,14.08.2003,0.402966667,0.35565,0.2737,0.237491667,0.3490375
,15.08.2003,0.402475,0.355325,0.274029167,0.237704167,0.349345833
,16.08.2003,0.402229167,0.355108333,0.274220833,0.237883333,0.349616667
,17.08.2003,0.402066667,0.355125,0.2744625,0.237925,0.349854167
,18.08.2003,0.400575,0.3546375,0.274658333,0.2380125,0.350033333
,19.08.2003,0.396645833,0.352816667,0.274545833,0.238045833,0.350320833
,20.08.2003,0.397620833,0.351379167,0.273808333,0.237816667,0.350516667
,21.08.2003,0.399175,0.351804167,0.2735125,0.23745,0.350504167
,22.08.2003,0.3999875,0.3524,0.273704167,0.237275,0.350483333
,23.08.2003,0.400475,0.353254167,0.274195833,0.237279167,0.35045
,24.08.2003,0.399145833,0.353441667,0.27475,0.237370833,0.3505125
,25.08.2003,0.394883333,0.351733333,0.274925,0.237575,0.3507125
,26.08.2003,0.3930875,0.349266667,0.274195833,0.23745,0.350875
,27.08.2003,0.394020833,0.348466667,0.273304167,0.237008333,0.3509625
,28.08.2003,0.394608333,0.348379167,0.272929167,0.236558333,0.350820833
,29.08.2003,0.393383333,0.348545833,0.272891667,0.236241667,0.350754167
,30.08.2003,0.387729167,0.346583333,0.272654167,0.236004167,0.3507
,31.08.2003,0.383383333,0.3424625,0.2712,0.235308333,0.350508333
,01.09.2003,0.383108333,0.339929167,0.269333333,0.234454167,0.35045
,02.09.2003,0.3849875,0.339275,0.267941667,0.233508333,0.3503125
,03.09.2003,0.386008333,0.339758333,0.267345833,0.23275,0.349941667
,04.09.2003,0.385441667,0.339604167,0.267154167,0.2322125,0.349566667
,05.09.2003,0.387604167,0.340104167,0.26705,0.231875,0.349258333
,06.09.2003,0.388641667,0.341341667,0.2673375,0.231645833,0.348933333
,07.09.2003,0.387645833,0.3418625,0.2678375,0.231604167,0.348725
,08.09.2003,0.384975,0.3407625,0.267983333,0.231675,0.348620833
,09.09.2003,0.3844875,0.33995,0.267658333,0.231533333,0.348545833
,10.09.2003,0.383333333,0.339129167,0.267304167,0.231266667,0.348416667
,11.09.2003,0.380516667,0.337741667,0.266816667,0.230933333,0.348304167
,12.09.2003,0.3800125,0.336133333,0.266004167,0.230495833,0.348095833
,13.09.2003,0.380295833,0.3358125,0.265316667,0.229929167,0.347904167
,14.09.2003,0.378241667,0.33495,0.264866667,0.229429167,0.347583333
,15.09.2003,0.377491667,0.333666667,0.264254167,0.228920833,0.3473
,16.09.2003,0.3793625,0.333520833,0.263654167,0.22835,0.346991667
,17.09.2003,0.380541667,0.334358333,0.263591667,0.2279,0.34665
,18.09.2003,0.374675,0.333245833,0.263725,0.2276375,0.346379167
,19.09.2003,0.3723125,0.3303875,0.262879167,0.227291667,0.346145833
,20.09.2003,0.372829167,0.329054167,0.26175,0.226604167,0.3459375
,21.09.2003,0.373379167,0.328566667,0.261,0.225858333,0.3455875
,22.09.2003,0.373995833,0.328720833,0.26065,0.2252375,0.3451875
,23.09.2003,0.374929167,0.3288125,0.260529167,0.224754167,0.344820833
,24.09.2003,0.376379167,0.3296125,0.260625,0.224408333,0.344533333
,25.09.2003,0.375608333,0.329870833,0.260991667,0.224216667,0.344233333
,26.09.2003,0.3770625,0.330070833,0.2611625,0.224141667,0.3441375
,27.09.2003,0.376545833,0.3305625,0.261525,0.224045833,0.343995833
,28.09.2003,0.375308333,0.330154167,0.2618,0.224066667,0.343916667
,29.09.2003,0.3738375,0.32935,0.26175,0.223941667,0.343866667
,30.09.2003,0.371541667,0.328179167,0.2614625,0.2237875,0.3438125
,01.10.2003,0.367866667,0.325866667,0.2608375,0.2234375,0.343770833
,02.10.2003,0.368529167,0.3243625,0.2598125,0.2228875,0.343645833
,03.10.2003,0.370133333,0.3240375,0.259125,0.222241667,0.343416667
,04.10.2003,0.370283333,0.324470833,0.258945833,0.221716667,0.343183333
,05.10.2003,0.370608333,0.324329167,0.258908333,0.2213875,0.342925
,06.10.2003,0.371908333,0.3246875,0.2589375,0.221125,0.342766667
,07.10.2003,0.372575,0.3253,0.2592,0.2209875,0.342608333
,08.10.2003,0.3741625,0.325920833,0.2595625,0.220920833,0.342504167
,09.10.2003,0.37445,0.3267625,0.260095833,0.220925,0.342504167
,10.10.2003,0.375170833,0.3272625,0.260583333,0.221020833,0.342529167
,11.10.2003,0.3739625,0.3275875,0.2611125,0.221170833,0.342541667
,12.10.2003,0.3703625,0.326091667,0.26125,0.221291667,0.342666667
,13.10.2003,0.37005,0.32485,0.260804167,0.221191667,0.3427625
,14.10.2003,0.366275,0.323283333,0.260295833,0.2209375,0.342804167
,15.10.2003,0.363970833,0.321020833,0.259391667,0.220520833,0.342766667
,16.10.2003,0.3631125,0.319266667,0.258275,0.2199125,0.342608333
,17.10.2003,0.3630875,0.318179167,0.257341667,0.219220833,0.342420833
,18.10.2003,0.366041667,0.3183375,0.256704167,0.2185375,0.342216667
,19.10.2003,0.367804167,0.319508333,0.2567,0.218083333,0.341958333
,20.10.2003,0.369470833,0.320504167,0.257066667,0.217829167,0.341720833
,21.10.2003,0.370029167,0.321575,0.257625,0.2178125,0.341529167
,22.10.2003,0.370416667,0.3221,0.258141667,0.217941667,0.3415
,23.10.2003,0.370658333,0.322583333,0.258595833,0.218104167,0.3415
,24.10.2003,0.370575,0.322933333,0.259004167,0.21825,0.3415125
,25.10.2003,0.365845833,0.3219875,0.259220833,0.218370833,0.341595833
,26.10.2003,0.360070833,0.318766667,0.258620833,0.2183625,0.341754167
,27.10.2003,0.359745833,0.3160625,0.257208333,0.217925,0.3419
,28.10.2003,0.361245833,0.315425,0.256054167,0.217241667,0.34185
,29.10.2003,0.360904167,0.315045833,0.255470833,-9999,0.3416375
,30.10.2003,0.359258333,0.315054167,0.255108333,0.2161625,0.341445833
,31.10.2003,0.350429167,0.3118375,0.254525,0.215779167,0.341195833
,01.11.2003,0.345795833,0.307316667,0.252645833,0.215091667,0.341204167
,02.11.2003,0.343458333,0.304204167,0.250454167,0.213933333,0.3411
,03.11.2003,0.341775,0.301808333,0.248491667,0.2126375,0.340670833
,04.11.2003,0.341004167,0.2999625,0.246791667,0.211329167,0.3399
,05.11.2003,0.339025,0.2987,0.2454,0.210141667,0.339075
,06.11.2003,0.3372125,0.296604167,0.244091667,0.2090625,0.338208333
,07.11.2003,0.337429167,0.295504167,0.242745833,0.207975,0.337375
