,13.01.2002,0.6021286945458948,0.6291989875171904,0.6180417646040297,0.6007034245194159,0.6165201727759192,0.6026180989618558,0.6313647226677279,0.6237326946934486,0.6327491019325924,0.5988445108445012,0.6097924818970433,0.6227423358911175,0.6299174774424378,0.6377879370945686,0.5982506546745958,0.6417402600392377,0.6041218407129625,0.6253367191289186,0.6298771728578295,0.6364625764698341,0.6179607471125098,0.6301899889320857,0.6358458722738587,0.6480086815876118,0.607130996248714,0.6418018110610801,0.630143766924513,0.6345273453894412,0.6211657426474327,0.627238415887259,0.6470350588813639,0.6160919632520994,0.6499025143447739,0.6264182339770831,0.64123354767074,0.6456753258810013,0.6516995972649114,0.6604643374869444,0.6250700654155488,0.627508929059226,0.6495037843682484,0.644585709899352,0.6523071654763378,0.630240221183154,0.6307200359152775,0.6313844320455156,0.6706604234715676,0.6433754980858041,0.6532127725371425,0.6431895283459987,0.652507958144076,0.6596380817077281,0.6525470266441296,0.6624270652529409,0.6506914835440725,0.66777861327812,0.6599970860854106,0.6717522002101342
,14.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,15.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,16.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,17.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,18.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,19.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,20.01.2002,0.7526608681823684,0.786498734396488,0.772552205755037,0.7508792806492699,0.770650215969899,0.7532726237023198,0.7892059033346599,0.7796658683668107,0.7909363774157405,0.7485556385556266,0.7622406023713041,0.7784279198638968,0.7873968468030471,0.7972349213682107,0.7478133183432448,0.8021753250490471,0.7551523008912031,0.7816708989111483,0.787346466072287,0.7955782205872926,0.7724509338906373,0.7877374861651071,0.7948073403423234,0.8100108519845148,0.7589137453108925,0.8022522638263502,0.7876797086556413,0.7931591817368016,0.776457178309291,0.7840480198590738,0.8087938236017049,0.7701149540651242,0.8123781429309673,0.7830227924713539,0.8015419345884252,0.8070941573512517,0.8146244965811392,0.8255804218586806,0.7813375817694359,0.7843861613240324,0.8118797304603105,0.80573213737419,0.8153839568454223,0.7878002764789426,0.7884000448940969,0.7892305400568946,0.8383255293394596,0.8042193726072552,0.8165159656714281,0.8039869104324985,0.8156349476800951,0.82454760213466,0.815683783305162,0.8280338315661762,0.8133643544300906,0.8347232665976501,0.8249963576067634,0.8396902502626676
,21.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,22.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,23.01.2002,0.724274784544684,0.6769017718449165,0.696426911942948,0.7267690070910222,0.6990896976421417,0.7234183268167522,0.6731117353314761,0.6864677842864653,0.6706890716179634,0.7300221060221229,0.7108631566801744,0.6882009121905446,0.6756444144757339,0.661871110084505,0.7310613543194571,0.6549545449313342,0.7207867787523159,0.6836607415243923,0.6757149474987985,0.6641904911777904,0.6965686925531077,0.6751675193688502,0.6652697235207471,0.6439848072216794,0.7155207565647507,0.6548468306431099,0.6752484078821022,0.6675771455684779,0.6909599503669925,0.6803327721972966,0.6456886469576132,0.699839064308826,0.6406705998966457,0.6817680905401048,0.6558412915762049,0.648068179708248,0.6375257047864052,0.6221874093978471,0.68412738552279,0.6798593741463547,0.6413683773555653,0.649975007676134,0.6364624604164089,0.6750796129294802,0.6742399371482646,0.6730772439203475,0.6043442589247566,0.6520928783498426,0.6348776480600006,0.6524183253945021,0.6361110732478668,0.6236333570114759,0.6360427033727734,0.6187526358073536,0.6392899037978732,0.6093874267632899,0.6230050993505314,0.6024336496322655
,24.01.2002,0.10346782636352628,0.09670025312070235,0.09948955884899258,0.10382414387014603,0.09986995680602023,0.10334547525953602,0.09615881933306801,0.0980668263266379,0.09581272451685191,0.1042888722888747,0.1015518795257392,0.09831441602722066,0.09652063063939055,0.09455301572635787,0.10443733633135102,0.0935649349901906,0.10296953982175941,0.09766582021777033,0.09653070678554262,0.09488435588254149,0.09950981322187254,0.0964525027669786,0.0950385319315353,0.09199782960309706,0.10221725093782152,0.09354954723472998,0.09646405826887174,0.0953681636526397,0.09870856433814179,0.09719039602818523,0.09224123527965902,0.09997700918697515,0.09152437141380652,0.09739544150572925,0.09369161308231498,0.09258116852974971,0.09107510068377218,0.08888391562826388,0.09773248364611285,0.09712276773519352,0.09162405390793789,0.09285357252516199,0.09092320863091555,0.09643994470421144,0.09631999102118065,0.09615389198862108,0.08633489413210808,0.09315612547854894,0.09069680686571437,0.09320261791350029,0.09087301046398097,0.08909047957306798,0.09086324333896763,0.0883932336867648,0.09132712911398189,0.08705534668046999,0.08900072847864735,0.0860619499474665
,25.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,26.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,27.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,28.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,29.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,30.01.2002,0.46093565272705256,0.44740050624140465,0.45297911769798516,0.4616482877402921,0.45373991361204047,0.46069095051907205,0.446317638666136,0.4501336526532759,0.4456254490337038,0.4625777445777495,0.45710375905147843,0.4506288320544413,0.4470412612787811,0.44310603145271577,0.462874672662702,0.4411298699803812,0.4599390796435189,0.44933164043554064,0.4470614135710853,0.4437687117650829,0.45301962644374505,0.44690500553395723,0.44407706386307055,0.43799565920619415,0.45843450187564305,0.44109909446946,0.44692811653774345,0.44473632730527946,0.4514171286762836,0.44838079205637044,0.4384824705593181,0.4539540183739503,0.437048742827613,0.44879088301145853,0.44138322616462994,0.4391623370594995,0.43615020136754445,0.43176783125652773,0.44946496729222574,0.44824553547038704,0.43724810781587575,0.43970714505032404,0.43584641726183115,0.4468798894084228,0.4466399820423613,0.44630778397724213,0.42666978826421614,0.4403122509570978,0.4353936137314287,0.4404052358270006,0.43574602092796194,0.43218095914613597,0.43572648667793523,0.4307864673735296,0.4366542582279638,0.42811069336094,0.43200145695729475,0.42612389989493304
,31.01.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,01.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,02.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,03.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,04.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,05.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,06.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,07.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,08.02.2002,23.332486913653423,24.381460766291127,23.949118378406148,23.277257700127365,23.890156695066867,23.351451334771912,24.465383003374455,24.16964191937113,24.519027699887953,23.20522479522442,23.629458673510424,24.1312655157808,24.40930225089446,24.71428256241453,23.182212868640587,24.867435076520458,23.409721327627295,24.231797866245596,24.407740448240894,24.662924838206067,23.945978950609756,24.419862071118317,24.639027550612024,25.110336411519956,23.526326104637665,24.869820178616852,24.41807096832488,24.587934633840845,24.070172527588017,24.305488615631287,25.07260853165285,23.87356357601885,25.183722430859984,24.27370656661197,24.847799972241177,25.0199188778888,25.253359394015316,25.5929930776191,24.22146503485251,24.315971001045003,25.168271644269623,24.977696258599888,25.276902662208087,24.42180857084722,24.440401391717,24.46614674176373,25.988091409523246,24.93080055082491,25.31199493581427,24.923594223407452,25.284683378082946,25.56097566617446,25.28619728246002,25.669048778551456,25.214294987332806,25.87642126452715,25.57488708580966,26.030397758142694
,09.02.2002,0.4515965209094211,0.4718992406378928,0.4635313234530222,0.4505275683895619,0.46239012958193937,0.4519635742213919,0.47352354200079594,0.46779952102008643,0.47456182644944434,0.4491333831333759,0.45734436142278245,0.46705675191833806,0.4724381080818283,0.4783409528209264,0.44868799100594686,0.48130519502942826,0.45309138053472187,0.469002539346689,0.47240787964337216,0.4773469323523756,0.4634705603343824,0.47264249169906425,0.476884404205394,0.48600651119070887,0.4553482471865355,0.48135135829581005,0.4726078251933848,0.4758955090420809,0.4658743069855746,0.4704288119154443,0.4852762941610229,0.4620689724390746,0.4874268857585804,0.46981367548281233,0.4809251607530551,0.48425649441075097,0.48877469794868356,0.49534825311520836,0.4688025490616615,0.47063169679441946,0.4871278382761863,0.483439282424514,0.48923037410725334,0.47268016588736556,0.4730400269364581,0.47353832403413676,0.5029953176036758,0.4825316235643531,0.4899095794028569,0.48239214625949906,0.4893809686080571,0.49472856128079606,0.48941026998309717,0.49682029893970564,0.48801861265805435,0.50083395995859,0.494997814564058,0.5038141501576006
,10.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,11.02.2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
